,ID,ID1,Week,FIPS,County,State,Nothing,D0,D1,D2,D3,D4,SUM,HD.status,ValidStart,ValidEnd,Year
1,1811,2315,8/29/2000,45001,Abbeville County,SC,0,100,100,100,100,79.45,479.45,NA,8/29/2000,9/4/2000,2000
2,1167,1112,8/29/2000,22001,Acadia Parish,LA,0,100,100,100,63.28,0,363.28,NA,8/29/2000,9/4/2000,2000
3,1952,2819,8/29/2000,51001,Accomack County,VA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
4,948,788,8/29/2000,19001,Adair County,IA,93.13,6.87,0,0,0,0,6.87,NA,8/29/2000,9/4/2000,2000
5,1047,992,8/29/2000,21001,Adair County,KY,51.92,48.08,0,0,0,0,48.08,NA,8/29/2000,9/4/2000,2000
6,1420,1482,8/29/2000,29001,Adair County,MO,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
7,949,789,8/29/2000,19003,Adams County,IA,99.81,0.19,0,0,0,0,0.19,NA,8/29/2000,9/4/2000,2000
8,754,594,8/29/2000,17001,Adams County,IL,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
9,856,696,8/29/2000,18001,Adams County,IN,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
10,1338,1400,8/29/2000,28001,Adams County,MS,0,100,100,100,100,0,400,1,8/29/2000,9/4/2000,2000
11,1656,2042,8/29/2000,39001,Adams County,OH,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
12,1744,2243,8/29/2000,42001,Adams County,PA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
13,2141,3047,8/29/2000,55001,Adams County,WI,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
14,1812,2316,8/29/2000,45003,Aiken County,SC,0,100,100,100,63.17,0,363.17,NA,8/29/2000,9/4/2000,2000
15,528,319,8/29/2000,12001,Alachua County,FL,0,100,100,100,92.2,0,392.2,1,8/29/2000,9/4/2000,2000
16,1556,1889,8/29/2000,37001,Alamance County,NC,100,0,0,0,0,0,0,1,8/29/2000,9/4/2000,2000
17,1953,2820,8/29/2000,51003,Albemarle County,VA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
18,1255,1230,8/29/2000,26001,Alcona County,MI,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
19,1339,1401,8/29/2000,28003,Alcorn County,MS,0,100,100,0,0,0,200,NA,8/29/2000,9/4/2000,2000
20,755,595,8/29/2000,17003,Alexander County,IL,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
21,1557,1890,8/29/2000,37003,Alexander County,NC,0,100,100,55.51,0,0,255.51,1,8/29/2000,9/4/2000,2000
22,2047,2914,8/29/2000,51510,Alexandria City,VA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
23,1256,1231,8/29/2000,26003,Alger County,MI,0,100,27.8,0,0,0,127.8,NA,8/29/2000,9/4/2000,2000
24,950,790,8/29/2000,19005,Allamakee County,IA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
25,1257,1232,8/29/2000,26005,Allegan County,MI,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
26,1231,1192,8/29/2000,24001,Allegany County,MD,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
27,1558,1891,8/29/2000,37005,Alleghany County,NC,73.59,26.41,0,0,0,0,26.41,NA,8/29/2000,9/4/2000,2000
28,1954,2821,8/29/2000,51005,Alleghany County,VA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
29,1745,2244,8/29/2000,42003,Allegheny County,PA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
30,857,697,8/29/2000,18003,Allen County,IN,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
31,1048,993,8/29/2000,21003,Allen County,KY,0,100,91.42,0,0,0,191.42,NA,8/29/2000,9/4/2000,2000
32,1657,2043,8/29/2000,39003,Allen County,OH,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
33,1168,1113,8/29/2000,22003,Allen Parish,LA,0,100,100,59.76,0,0,259.76,NA,8/29/2000,9/4/2000,2000
34,1813,2317,8/29/2000,45005,Allendale County,SC,0,100,100,94.94,0.23,0,295.17,NA,8/29/2000,9/4/2000,2000
35,1258,1233,8/29/2000,26007,Alpena County,MI,90.76,9.24,0,0,0,0,9.24,NA,8/29/2000,9/4/2000,2000
36,1955,2822,8/29/2000,51007,Amelia County,VA,100,0,0,0,0,0,0,1,8/29/2000,9/4/2000,2000
37,1956,2823,8/29/2000,51009,Amherst County,VA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
38,1340,1402,8/29/2000,28005,Amite County,MS,0,100,100,100,100,0,400,NA,8/29/2000,9/4/2000,2000
39,1049,994,8/29/2000,21005,Anderson County,KY,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
40,1814,2318,8/29/2000,45007,Anderson County,SC,0,100,100,100,100,2.5,402.5,1,8/29/2000,9/4/2000,2000
41,1857,2427,8/29/2000,47001,Anderson County,TN,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
42,1421,1483,8/29/2000,29003,Andrew County,MO,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
43,1232,1193,8/29/2000,24003,Anne Arundel County,MD,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
44,1559,1892,8/29/2000,37007,Anson County,NC,34.16,65.84,0,0,0,0,65.84,NA,8/29/2000,9/4/2000,2000
45,1259,1234,8/29/2000,26009,Antrim County,MI,35.25,64.75,0,0,0,0,64.75,NA,8/29/2000,9/4/2000,2000
46,951,791,8/29/2000,19007,Appanoose County,IA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
47,595,386,8/29/2000,13001,Appling County,GA,0,100,93.8,5.04,0,0,198.84,NA,8/29/2000,9/4/2000,2000
48,1957,2824,8/29/2000,51011,Appomattox County,VA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
49,1260,1235,8/29/2000,26011,Arenac County,MI,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
50,1,16,8/29/2000,5001,Arkansas County,AR,0,100,100,100,100,0,400,NA,8/29/2000,9/4/2000,2000
51,1958,2825,8/29/2000,51013,Arlington County,VA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
52,1746,2245,8/29/2000,42005,Armstrong County,PA,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
53,1169,1114,8/29/2000,22005,Ascension Parish,LA,0,100,100,100,100,100,500,NA,8/29/2000,9/4/2000,2000
54,1560,1893,8/29/2000,37009,Ashe County,NC,53.06,46.94,0,0,0,0,46.94,NA,8/29/2000,9/4/2000,2000
55,1658,2044,8/29/2000,39005,Ashland County,OH,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
56,2142,3048,8/29/2000,55003,Ashland County,WI,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
57,2,17,8/29/2000,5003,Ashley County,AR,0,100,100,94.38,0,0,294.38,NA,8/29/2000,9/4/2000,2000
58,1659,2045,8/29/2000,39007,Ashtabula County,OH,100,0,0,0,0,0,0,NA,8/29/2000,9/4/2000,2000
59,1170,1115,8/29/2000,22007,Assumption Parish,LA,0,100,100,100,100,100,500,NA,8/29/2000,9/4/2000,2000
60,1422,1484,8/29/2000,29005,Atchison County,MO,56.29,43.71,0,0,0,0,43.71,NA,8/29/2000,9/4/2000,2000
