NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,ORIG_FID
Bayfield,Wisconsin,55,007,55007,-91.20448052130,46.52528892830,-91.20448052130,46.52528892830,0
Douglas,Wisconsin,55,031,55031,-91.91340075690,46.43120018910,-91.91340075690,46.43120018910,1
Ashland,Wisconsin,55,003,55003,-90.68331817280,46.26376536780,-90.68331817280,46.26376536780,2
Iron,Wisconsin,55,051,55051,-90.23622785390,46.26355274550,-90.23622785390,46.26355274550,3
Washburn,Wisconsin,55,129,55129,-91.79167033640,45.89997712430,-91.79167033640,45.89997712430,4
Sawyer,Wisconsin,55,113,55113,-91.14413433310,45.88062752360,-91.14413433310,45.88062752360,5
Burnett,Wisconsin,55,013,55013,-92.36348756150,45.86311651200,-92.36348756150,45.86311651200,6
Price,Wisconsin,55,099,55099,-90.35873775060,45.68261136980,-90.35873775060,45.68261136980,7
Polk,Wisconsin,55,095,55095,-92.44165935520,45.46395025850,-92.44165935520,45.46395025850,8
Barron,Wisconsin,55,005,55005,-91.85037861380,45.42579990740,-91.85037861380,45.42579990740,9
Rusk,Wisconsin,55,107,55107,-91.13334720830,45.47589484960,-91.13334720830,45.47589484960,10
Taylor,Wisconsin,55,119,55119,-90.49961788140,45.21245359170,-90.49961788140,45.21245359170,11
Chippewa,Wisconsin,55,017,55017,-91.27963857180,45.06980005960,-91.27963857180,45.06980005960,12
St. Croix,Wisconsin,55,109,55109,-92.45285939170,45.03425048700,-92.45285939170,45.03425048700,13
Dunn,Wisconsin,55,033,55033,-91.89861272770,44.94763829660,-91.89861272770,44.94763829660,14
Clark,Wisconsin,55,019,55019,-90.60954498250,44.73527986680,-90.60954498250,44.73527986680,15
Pierce,Wisconsin,55,093,55093,-92.42165121920,44.71892767200,-92.42165121920,44.71892767200,16
Eau Claire,Wisconsin,55,035,55035,-91.28715874140,44.72522736470,-91.28715874140,44.72522736470,17
Wood,Wisconsin,55,141,55141,-90.03755553740,44.45540949760,-90.03755553740,44.45540949760,18
Pepin,Wisconsin,55,091,55091,-92.00481341680,44.58226421510,-92.15331856200,44.48487215100,19
Buffalo,Wisconsin,55,011,55011,-91.75649542920,44.38171971050,-91.75649542920,44.38171971050,20
Trempealeau,Wisconsin,55,121,55121,-91.35831357170,44.30351512100,-91.35831357170,44.30351512100,21
Jackson,Wisconsin,55,053,55053,-90.80112088750,44.31980328640,-90.80112088750,44.31980328640,22
Juneau,Wisconsin,55,057,55057,-90.11244458450,43.92752770640,-90.11244458450,43.92752770640,23
Monroe,Wisconsin,55,081,55081,-90.61859723540,43.94568634770,-90.61859723540,43.94568634770,24
La Crosse,Wisconsin,55,063,55063,-91.11656823380,43.90736794950,-91.11656823380,43.90736794950,25
Vernon,Wisconsin,55,123,55123,-90.83482275900,43.59241128400,-90.83482275900,43.59241128400,26
Richland,Wisconsin,55,103,55103,-90.43122590680,43.37849398600,-90.43122590680,43.37849398600,27
Worth,Iowa,19,195,19195,-93.26508119720,43.37726888910,-93.26508119720,43.37726888910,28
Mitchell,Iowa,19,131,19131,-92.79387411020,43.35751506150,-92.79387411020,43.35751506150,29
Allamakee,Iowa,19,005,19005,-91.37887552700,43.28461327250,-91.37887552700,43.28461327250,30
Winnebago,Iowa,19,189,19189,-93.73900145230,43.37671845630,-93.73900145230,43.37671845630,31
Winneshiek,Iowa,19,191,19191,-91.84560955500,43.29127087440,-91.84560955500,43.29127087440,32
Osceola,Iowa,19,143,19143,-95.63212925400,43.37781982300,-95.63212925400,43.37781982300,33
Dickinson,Iowa,19,059,19059,-95.15917702980,43.37630375740,-95.15917702980,43.37630375740,34
Kossuth,Iowa,19,109,19109,-94.21676329690,43.20596101270,-94.21676329690,43.20596101270,35
Howard,Iowa,19,089,19089,-92.31913410470,43.35773442480,-92.31913410470,43.35773442480,36
Emmet,Iowa,19,063,19063,-94.68884358540,43.37570565810,-94.68884358540,43.37570565810,37
Lyon,Iowa,19,119,19119,-96.21349346900,43.38137967230,-96.21349346900,43.38137967230,38
Crawford,Wisconsin,55,023,55023,-90.92777149560,43.24122685680,-90.92777149560,43.24122685680,39
Sioux,Iowa,19,167,19167,-96.18497218620,43.08694475320,-96.18497218620,43.08694475320,40
O'Brien,Iowa,19,141,19141,-95.63496687600,43.08557773040,-95.63496687600,43.08557773040,41
Cerro Gordo,Iowa,19,033,19033,-93.26375969450,43.08203509110,-93.26375969450,43.08203509110,42
Clay,Iowa,19,041,19041,-95.16053673110,43.08307070930,-95.16053673110,43.08307070930,43
Hancock,Iowa,19,081,19081,-93.74056861100,43.08210221760,-93.74056861100,43.08210221760,44
Palo Alto,Iowa,19,147,19147,-94.68834527650,43.08257632190,-94.68834527650,43.08257632190,45
Floyd,Iowa,19,067,19067,-92.79310345020,43.06293048790,-92.79310345020,43.06293048790,46
Chickasaw,Iowa,19,037,19037,-92.32153569330,43.06519730390,-92.32153569330,43.06519730390,47
Iowa,Wisconsin,55,049,55049,-90.13311584830,43.00131883170,-90.13311584830,43.00131883170,48
Grant,Wisconsin,55,043,55043,-90.70522393070,42.86979980610,-90.70522393070,42.86979980610,49
Fayette,Iowa,19,065,19065,-91.84885666680,42.86308995780,-91.84885666680,42.86308995780,50
Clayton,Iowa,19,043,19043,-91.34270602100,42.84777934730,-91.34270602100,42.84777934730,51
Plymouth,Iowa,19,149,19149,-96.22006872140,42.74213555900,-96.22006872140,42.74213555900,52
Cherokee,Iowa,19,035,19035,-95.63372977540,42.73891476100,-95.63372977540,42.73891476100,53
Bremer,Iowa,19,017,19017,-92.32264153400,42.77665150330,-92.32264153400,42.77665150330,54
Butler,Iowa,19,023,19023,-92.79283467640,42.73163337330,-92.79283467640,42.73163337330,55
Buena Vista,Iowa,19,021,19021,-95.15931975110,42.73732187710,-95.15931975110,42.73732187710,56
Pocahontas,Iowa,19,151,19151,-94.68750688110,42.73633680330,-94.68750688110,42.73633680330,57
Humboldt,Iowa,19,091,19091,-94.21630778400,42.78021119790,-94.21630778400,42.78021119790,58
Wright,Iowa,19,197,19197,-93.73824073210,42.73352619370,-93.73824073210,42.73352619370,59
Franklin,Iowa,19,069,19069,-93.26443243010,42.73180134870,-93.26443243010,42.73180134870,60
Lafayette,Wisconsin,55,065,55065,-90.12935989340,42.65919079060,-90.12935989340,42.65919079060,61
Dubuque,Iowa,19,061,19061,-90.88299726840,42.47176838220,-90.88299726840,42.47176838220,62
Webster,Iowa,19,187,19187,-94.19074355580,42.42907508880,-94.19074355580,42.42907508880,63
Delaware,Iowa,19,055,19055,-91.37037021010,42.47111213540,-91.37037021010,42.47111213540,64
Buchanan,Iowa,19,019,19019,-91.84083821970,42.46937051740,-91.84083821970,42.46937051740,65
Black Hawk,Iowa,19,013,19013,-92.31406560640,42.46635939410,-92.31406560640,42.46635939410,66
